Contiguous U.S., Palmer Hydrological Drought Index (PHDI)
Missing: -99,
Date,Value
197501,2.24
197502,2.69
197503,3.55
197504,3.86
197505,3.82
197506,3.99
197507,4.20
197508,4.37
197509,4.37
197510,4.11
197511,3.86
197512,3.56
197601,3.09
197602,2.42
197603,2.13
197604,1.66
197605,1.68
197606,1.52
197607,1.57
197608,1.00
197609,0.95
197610,1.51
197611,0.73
197612,-1.42
197701,-2.31
197702,-3.34
197703,-2.57
197704,-2.85
197705,-2.94
197706,-3.21
197707,-3.46
197708,-2.29
197709,-1.46
197710,-1.23
197711,-0.66
197712,1.91
197801,2.95
197802,2.54
197803,2.02
197804,1.82
197805,2.41
197806,1.85
197807,1.72
197808,1.79
197809,1.48
197810,-1.03
197811,-0.77
197812,-0.62
197901,1.13
197902,1.70
197903,1.75
197904,2.26
197905,2.49
197906,2.03
197907,2.53
197908,3.05
197909,2.74
197910,2.48
197911,2.51
197912,2.05
198001,2.23
198002,2.02
198003,2.88
198004,2.46
198005,2.39
198006,1.61
198007,-1.48
198008,-1.79
198009,-1.52
198010,-1.50
198011,-2.06
198012,-3.11
198101,-4.78
198102,-5.75
198103,-5.84
198104,-5.99
198105,-4.60
198106,-3.71
198107,-2.71
198108,-2.00
198109,-2.12
198110,-0.84
198111,-0.78
198112,2.24
198201,3.02
198202,3.03
198203,2.65
198204,2.71
198205,2.86
198206,3.25
198207,3.64
198208,3.57
198209,3.33
198210,3.31
198211,3.87
198212,5.15
198301,5.10
198302,5.15
198303,5.73
198304,6.31
198305,6.50
198306,6.09
198307,5.13
198308,4.00
198309,3.25
198310,3.24
198311,4.25
198312,5.32
198401,4.69
198402,4.20
198403,4.12
198404,4.33
198405,4.16
198406,3.81
198407,3.71
198408,3.19
198409,2.49
198410,3.65
198411,4.24
198412,4.80
198501,4.28
198502,4.05
198503,3.39
198504,2.17
198505,1.34
198506,0.94
198507,-1.82
198508,-1.33
198509,0.98
198510,1.82
198511,3.22
198512,3.33
198601,2.91
198602,3.37
198603,1.99
198604,1.36
198605,1.17
198606,1.02
198607,0.91
198608,1.08
198609,2.18
198610,2.66
198611,3.38
198612,3.61
198701,3.80
198702,3.62
198703,3.29
198704,1.69
198705,1.32
198706,0.91
198707,0.65
198708,0.63
198709,-1.49
198710,-2.12
198711,-2.03
198712,-1.75
198801,-1.79
198802,-1.99
198803,-2.38
198804,-2.36
198805,-3.01
198806,-4.27
198807,-4.78
198808,-4.99
198809,-4.24
198810,-4.47
198811,-3.67
198812,-4.01
198901,-4.25
198902,-3.82
198903,-3.15
198904,-3.69
198905,-3.03
198906,-1.76
198907,-1.04
198908,1.92
198909,2.07
198910,1.69
198911,1.02
198912,-1.54
199001,-1.69
199002,-0.94
199003,-0.97
199004,-1.02
199005,1.25
199006,0.62
199007,0.75
199008,0.76
199009,-0.80
199010,0.57
199011,0.25
199012,0.49
199101,0.78
199102,0.10
199103,0.74
199104,1.34
199105,1.76
199106,1.53
199107,1.48
199108,1.30
199109,1.21
199110,1.02
199111,1.19
199112,1.40
199201,1.43
199202,1.33
199203,0.86
199204,-0.86
199205,-1.45
199206,-0.74
199207,1.63
199208,2.38
199209,2.14
199210,1.56
199211,2.51
199212,3.30
199301,4.34
199302,4.18
199303,4.04
199304,4.20
199305,3.74
199306,4.21
199307,4.80
199308,4.98
199309,4.83
199310,4.59
199311,4.43
199312,4.11
199401,4.05
199402,3.89
199403,3.02
199404,2.87
199405,2.09
199406,1.63
199407,1.54
199408,1.23
199409,0.68
199410,1.25
199411,1.73
199412,1.75
199501,2.69
199502,1.93
199503,2.03
199504,2.36
199505,3.46
199506,3.59
199507,3.53
199508,3.22
199509,2.65
199510,2.81
199511,2.71
199512,2.57
199601,3.03
199602,2.59
199603,2.24
199604,2.15
199605,2.24
199606,1.90
199607,2.15
199608,2.11
199609,3.01
199610,3.15
199611,3.91
199612,5.07
199701,5.62
199702,5.38
199703,4.43
199704,4.84
199705,4.35
199706,4.45
199707,4.27
199708,4.10
199709,3.63
199710,3.66
199711,3.51
199712,3.38
199801,4.18
199802,4.83
199803,5.07
199804,4.65
199805,3.63
199806,3.71
199807,3.31
199808,2.52
199809,1.82
199810,2.26
199811,2.20
199812,1.83
199901,2.37
199902,1.82
199903,1.16
199904,1.38
199905,1.28
199906,1.61
199907,1.49
199908,0.97
199909,0.95
199910,-0.78
199911,-2.07
199912,-3.31
200001,-4.31
200002,-5.14
200003,-5.16
200004,-4.94
200005,-5.02
200006,-4.05
200007,-4.07
200008,-4.75
200009,-4.70
200010,-4.24
200011,-3.38
200012,-3.50
200101,-3.67
200102,-3.03
200103,-2.68
200104,-3.00
200105,-3.12
200106,-2.65
200107,-2.55
200108,-2.82
200109,-2.69
200110,-2.52
200111,-2.74
200112,-2.97
200201,-3.34
200202,-3.83
200203,-3.20
200204,-3.36
200205,-3.12
200206,-3.34
200207,-3.56
200208,-3.76
200209,-3.41
200210,-2.10
200211,-2.04
200212,-1.30
200301,-1.45
200302,-0.66
200303,-0.82
200304,-0.67
200305,1.10
200306,1.62
200307,1.60
200308,1.21
200309,1.40
200310,0.76
200311,0.75
200312,-0.50
200401,-0.74
200402,-0.16
200403,-1.28
200404,-1.30
200405,-0.96
200406,0.87
200407,1.50
200408,2.33
200409,2.63
200410,3.17
200411,4.00
200412,4.50
200501,4.99
200502,4.40
200503,3.67
200504,3.26
200505,2.89
200506,2.79
200507,2.44
200508,2.45
200509,1.41
200510,1.35
200511,0.86
200512,-1.12
200601,-1.19
200602,-1.51
200603,-1.68
200604,-1.95
200605,-2.57
200606,-2.94
200607,-3.65
200608,-3.63
200609,-2.87
200610,-1.79
200611,-1.51
200612,-1.18
200701,-0.82
200702,-0.86
200703,-1.62
200704,-1.37
200705,-1.62
200706,-1.57
200707,-1.55
200708,-1.77
200709,-2.10
200710,-1.63
200711,-2.48
200712,-2.34
200801,-2.39
200802,-1.66
200803,-1.54
200804,-1.23
200805,-0.88
200806,-0.75
200807,0.72
200808,1.18
200809,1.25
200810,1.22
200811,0.73
200812,0.93
200901,-0.34
200902,-0.81
200903,0.04
200904,0.41
200905,0.58
200906,0.68
200907,1.18
200908,1.42
200909,1.24
200910,3.41
200911,3.05
200912,4.16
201001,4.65
201002,4.30
201003,3.42
201004,2.73
201005,2.90
201006,3.03
201007,3.48
201008,3.12
201009,2.96
201010,2.36
201011,1.97
201012,1.72
201101,1.06
201102,1.02
201103,1.16
201104,1.85
201105,2.32
201106,1.70
201107,1.05
201108,-1.53
201109,-1.58
201110,-1.54
201111,-1.57
201112,-1.89
201201,-2.31
201202,-2.38
201203,-2.72
201204,-3.11
201205,-3.57
201206,-4.12
201207,-4.79
201208,-5.11
201209,-4.99
201210,-4.43
201211,-5.23
201212,-5.27
201301,-5.31
201302,-4.90
201303,-5.18
201304,-4.07
201305,-3.29
201306,-2.66
201307,-1.63
201308,-1.32
201309,-0.86
201310,-0.57
201311,-0.58
201312,1.43
201401,0.72
201402,1.00
201403,0.81
201404,1.06
201405,0.75
201406,1.33
201407,1.27
201408,1.79
201409,1.67
201410,1.53
201411,1.44
201412,1.42
201501,1.12
201502,0.85
201503,-1.06
201504,-0.85
201505,1.47
201506,1.70
201507,2.23
201508,1.99
201509,1.09
201510,1.38
201511,2.09
201512,3.50
201601,3.60
201602,2.92
201603,2.41
201604,2.43
201605,2.34
201606,1.40
201607,1.06
201608,1.60
201609,1.44
201610,1.19
201611,-1.18
201612,-1.40
201701,-0.91
201702,-0.92
201703,-1.23
201704,0.67
201705,1.00
201706,0.94
201707,0.89
201708,1.69
201709,1.21
201710,1.38
201711,-0.72
201712,-1.54
201801,-2.30
201802,-1.66
201803,-1.66
201804,-1.26
201805,-1.70
201806,-1.64
201807,-1.80
201808,-1.56
201809,-0.65
201810,1.92
201811,2.56
201812,3.68
201901,4.16
201902,5.08
201903,4.36
201904,4.42
201905,5.55
201906,5.48
201907,5.23
201908,4.88
201909,4.01
201910,4.74
201911,4.36
201912,4.38